YEAR,ZIP CODE,NO. OF RETURNS,AGI
2007,76043,3089,157648
2007,76044,1759,96597
2007,76048,10699,543995
2007,76049,11729,855667
2007,76050,2913,150576
2007,76051,21502,1624913
2007,76052,5607,422502
2007,76053,13807,556110
2007,76054,6512,487826
2007,76055,1268,44080
2007,76058,7642,325549
2007,76059,2105,72355
2007,76060,3419,204790
2007,76061,367,16898
2007,76063,25237,1867691
2007,76064,868,46043
2007,76065,12343,807795
2007,76066,1441,76994
2007,76067,8867,316578
2007,76068,696,51898
2007,76070,232,18357
2007,76071,1444,65544
2007,76073,2320,122303
2007,76077,273,11720
2007,76078,3397,184944
2007,76082,7948,345607
2007,76084,3188,128231
2007,76085,4179,210913
2007,76086,9736,432355
2007,76087,10841,835224
2007,76088,4951,286748
2007,76092,11628,2865640
2007,76093,1100,54876
2007,76094,315,14534
2007,76095,700,37822
2007,76096,747,31219
2007,76097,1040,60311
2007,76098,812,36303
2007,76099,710,46659
2007,76101,449,91779
2007,76102,3699,3282378
2007,76103,6189,202235
2007,76104,7339,163428
2007,76105,9396,174159
2007,76106,13776,349387
2007,76107,13313,1878842
2007,76108,17263,833321
2007,76109,9772,1443757
2007,76110,13169,532615
2007,76111,9175,272624
2007,76112,18113,633784
2007,76113,129,14997
2007,76114,11311,400284
2007,76115,7752,191765
2007,76116,21297,1331988
2007,76117,13927,435334
2007,76118,6687,299433
2007,76119,17664,406937
2007,76120,7031,295766
2007,76121,570,80380
2007,76122,140,2258
2007,76123,12050,644535
2007,76124,523,21731
2007,76126,9734,795406
2007,76127,256,8291
2007,76129,152,1596
2007,76131,10660,541521
2007,76132,12180,1177479
2007,76133,22794,968789
2007,76134,10257,356932
2007,76135,9061,415733
2007,76136,347,18076
2007,76137,23891,1245586
2007,76140,11311,403674
2007,76147,330,80647
2007,76148,11566,482674
2007,76155,1750,65988
2007,76161,656,118960
2007,76162,442,84825
2007,76163,355,13314
2007,76164,6340,156433
2007,76177,1591,95922
2007,76179,19743,1253875
2007,76180,29490,1683607
2007,76181,75,3071
2007,76182,462,29021
2007,76185,393,51397
2007,76201,8709,248005
2007,76202,1256,47282
2007,76203,204,3766
2007,76204,111,1993
2007,76205,7440,402548
2007,76206,393,18223
2007,76207,4764,279981
2007,76208,7736,435071
2007,76209,10924,402543
2007,76210,16068,1078391
2007,76225,1423,66803
2007,76226,7019,962357
2007,76227,8778,547658
2007,76228,508,18878
2007,76230,4811,210808
2007,76233,1436,59579
2007,76234,6990,434743
2007,76238,258,11530
2007,76239,462,25813
2007,76240,11509,520033
2007,76241,1045,59233
2007,76244,682,55551
2007,76245,955,35080
2007,76246,51,2298
2007,76247,5392,309254
2007,76248,35297,2833473
2007,76249,3256,179372
2007,76250,586,35195
2007,76251,368,17528
2007,76252,1440,92187
2007,76253,115,3688
2007,76255,2650,111657
2007,76258,2898,175180
2007,76259,1873,108234
2007,76261,139,3653
2007,76262,11351,1413476
2007,76263,45,2739
2007,76264,672,27399
2007,76265,888,36933
2007,76266,5975,292733
2007,76267,126,5070
2007,76268,176,5503
2007,76270,849,46000
2007,76271,657,32402
2007,76272,2126,106461
2007,76273,4279,181679
2007,76301,8001,235554
2007,76302,5546,238901
2007,76305,2454,97955
2007,76306,7383,217167
2007,76307,669,143755
2007,76308,9749,680535
2007,76309,6481,296875
2007,76310,8464,429009
2007,76311,1357,39406
2007,76351,1033,42161
2007,76352,20,722
2007,76354,5609,231511
2007,76357,351,12706
2007,76360,1713,60717
2007,76363,137,3216
2007,76364,105,4214
2007,76365,2486,98481
2007,76366,1095,53584
2007,76367,4748,207062
2007,76369,121,5099
2007,76370,161,5483
2007,76371,775,24625
2007,76372,435,14509
2007,76373,92,3061
2007,76374,2109,77511
2007,76377,410,16418
2007,76379,235,10244
2007,76380,1929,57782
2007,76384,5833,208896
2007,76385,506,22267
2007,76388,111,2776
2007,76389,620,39826
2007,76401,10691,451220
2007,76402,97,727
2007,76424,4023,172729
2007,76426,4917,295387
2007,76427,380,14062
2007,76429,89,4358
2007,76430,1268,105205
2007,76431,1572,68858
2007,76432,621,23332
2007,76433,592,33469
2007,76435,288,7698
2007,76436,154,4536
2007,76437,2546,89625
2007,76439,147,12727
2007,76442,3580,114940
2007,76443,972,29329
2007,76444,1747,55755
2007,76445,186,4607
2007,76446,3561,112600
2007,76448,2733,124177
2007,76449,1032,51422
2007,76450,6528,357371
2007,76452,29,647
2007,76453,506,26456
2007,76454,802,22143
2007,76455,427,12371
2007,76457,1748,67850
2007,76458,2471,132143
2007,76459,79,2956
2007,76460,193,7228
2007,76461,60,1592
2007,76462,1223,75573
2007,76463,225,10204
2007,76464,237,7501
2007,76465,149,8247
2007,76466,178,5363
2007,76467,29,1737
2007,76468,144,3764
2007,76469,69,1534
2007,76470,1446,42955
2007,76471,828,23270
2007,76472,713,33077
2007,76474,149,5114
2007,76475,481,18872
2007,76476,1160,55262
2007,76481,104,3440
2007,76483,528,25108
2007,76484,439,19051
2007,76485,166,9069
2007,76486,552,26404
2007,76487,1077,51126
2007,76490,97,4128
2007,76491,233,8052
2007,76501,7874,249576
2007,76502,13641,798208
2007,76503,805,51164
2007,76504,10848,317268
2007,76505,443,21327
2007,76511,1095,34672
2007,76513,14872,763316
2007,76518,561,16489
2007,76519,303,9962
2007,76520,3993,141257
2007,76522,15468,542081
2007,76523,82,2102
2007,76524,1281,50514
2007,76525,497,13908
2007,76526,64,1475
2007,76527,1755,81950
2007,76528,7282,268701
2007,76530,1222,45391
2007,76531,2498,93511
2007,76533,106,3149
2007,76534,1200,47144
2007,76537,1681,73263
2007,76538,341,12770
2007,76539,3651,159347
2007,76540,544,21815
2007,76541,8176,196240
2007,76542,14778,555035
2007,76543,13310,390919
2007,76544,11654,254038
2007,76545,14,214
2007,76547,459,21472
2007,76548,10893,512237
2007,76549,16568,528079
2007,76550,5662,257600
2007,76554,1041,40990
2007,76556,692,25087
2007,76557,2302,83028
2007,76558,53,1528
2007,76559,2055,79021
2007,76561,500,16763
2007,76564,92,2691
2007,76565,54,1838
2007,76566,140,4147
2007,76567,4370,176760
2007,76569,1235,43315
2007,76570,1320,40047
2007,76571,3144,233358
2007,76573,43,1701
2007,76574,8349,333577
2007,76577,1396,59223
2007,76578,752,30159
2007,76579,1905,79372
2007,76597,17,19
2007,76621,510,21327
2007,76622,481,17189
2007,76623,198,5798
2007,76624,1135,40975
2007,76626,742,27647
2007,76627,699,27212
2007,76628,66,1916
2007,76629,983,32186
2007,76630,808,34526
2007,76631,243,8707
2007,76632,758,20915
2007,76633,2413,132157
2007,76634,3207,135224
2007,76635,557,15430
2007,76636,704,28843
2007,76637,270,11061
2007,76638,1293,99743
2007,76639,704,20638
2007,76640,1616,51064
2007,76641,763,26258
2007,76642,2897,108676
2007,76643,6569,320218
2007,76644,190,6974
2007,76645,5202,190443
2007,76648,1186,41016
2007,76649,374,15037
2007,76650,55,1308
2007,76651,1426,52466
2007,76652,506,19618
2007,76653,491,17117
2007,76654,109,4186
2007,76655,3824,202491
2007,76656,1113,35354
2007,76657,4302,258332
2007,76660,261,6230
2007,76661,3392,85300
2007,76664,1628,50974
2007,76665,1154,44258
2007,76666,120,4837
2007,76667,5696,180050
2007,76670,629,22242
2007,76671,771,27195
2007,76673,484,17489
2007,76676,192,6237
2007,76678,93,2574
2007,76679,669,20380
2007,76680,110,3339
2007,76681,271,7165
2007,76682,1365,47565
2007,76684,137,5536
2007,76685,64,1406
2007,76686,158,6476
2007,76687,678,25098
